Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.109739,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.216011,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.318725,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.425046,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.531362,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.633942,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.740463,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.846966,0.0,0.0,0.0,0.0,170.0,50.0,2.5
1.949234,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.055682,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.158176,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.264668,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.371071,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.473528,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.579913,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.68639,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.78902,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.895407,0.0,0.0,0.0,0.0,170.0,50.0,2.5
2.997632,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.104267,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.210752,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.313245,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.419836,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.526166,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.628474,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.73495,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.841401,0.0,0.0,0.0,0.0,170.0,50.0,2.5
3.944134,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.050413,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.152833,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.259448,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.365716,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.468359,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.574759,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.681316,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.783559,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.890029,0.0,0.0,0.0,0.0,170.0,50.0,2.5
4.997163,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.099106,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.205529,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.307787,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.414486,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.520564,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.623234,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.729791,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.836107,0.0,0.0,0.0,0.0,170.0,50.0,2.5
5.938587,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.045141,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.147447,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.254508,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.360407,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.462899,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.569412,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.67566,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.778074,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.884762,0.0,0.0,0.0,0.0,170.0,50.0,2.5
6.991199,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.09388,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.200156,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.302586,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.409247,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.515455,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.617811,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.724335,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.831004,0.0,0.0,0.0,0.0,170.0,50.0,2.5
7.937168,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.039855,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.142334,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.248495,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.354992,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.457657,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.564254,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.670695,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.77376,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.879604,0.0,0.0,0.0,0.0,170.0,50.0,2.5
8.986387,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.088346,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.194811,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.297078,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.40351,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.51005,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.612599,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.719683,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.825277,0.0,0.0,0.0,0.0,170.0,50.0,2.5
9.927889,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.03449,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.140787,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.243428,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.349538,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.452294,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.558545,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.66506,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.767497,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.874321,0.0,0.0,0.0,0.0,170.0,50.0,2.5
10.980293,0.0,0.0,0.0,0.0,170.0,50.0,2.5
11.136317,0.0,0.25,48.44,0.25,170.0,50.0,2.5
11.279632,0.1739,0.25,12.43,0.0761,170.0,50.0,2.5
11.385995,0.0639,0.25,37.73,0.1861,170.0,50.0,2.5
11.492556,0.1315,0.25,22.7,0.1185,170.0,50.0,2.5
11.598888,0.0949,0.25,32.19,0.15510000000000002,170.0,50.0,2.5
11.705309,0.1177,0.25,27.6,0.1323,170.0,50.0,2.5
11.811884,0.1105,0.25,30.27,0.1395,170.0,50.0,2.5
11.918463,0.1181,0.25,29.34,0.13190000000000002,170.0,50.0,2.5
12.024883,0.1178,0.25,30.28,0.13219999999999998,170.0,50.0,2.5
12.131363,0.1219,0.25,30.15,0.1281,170.0,50.0,2.5
12.234779,0.1231,0.25,30.69,0.1269,170.0,50.0,2.5
12.340262,0.1232,0.25,31.36,0.1268,170.0,50.0,2.5
12.446832,0.1258,0.25,31.52,0.1242,170.0,50.0,2.5
12.553224,0.1249,0.25,32.42,0.1251,170.0,50.0,2.5
12.659879,0.1295,0.25,32.15,0.1205,170.0,50.0,2.5
12.766395,0.1255,0.25,33.71,0.1245,170.0,50.0,2.5
12.872541,0.1338,0.25,32.6,0.1162,170.0,50.0,2.5
12.978998,0.1283,0.25,34.52,0.1217,170.0,50.0,2.5
13.081551,0.1371,0.25,33.28,0.1129,170.0,50.0,2.5
13.188108,0.1385,0.25,33.8,0.11149999999999999,170.0,50.0,2.5
13.294763,0.1343,0.25,35.28,0.1157,170.0,50.0,2.5
13.401137,0.1452,0.25,33.61,0.1048,170.0,50.0,2.5
13.507871,0.1351,0.25,36.45,0.1149,170.0,50.0,2.5
13.614604,0.1473,0.25,34.39,0.10270000000000001,170.0,50.0,2.5
13.720446,0.1393,0.25,36.81,0.11069999999999999,170.0,50.0,2.5
13.827034,0.1447,0.25,36.12,0.1053,170.0,50.0,2.5
13.933396,0.1459,0.25,36.58,0.1041,170.0,50.0,2.5
14.035923,0.1472,0.25,36.91,0.1028,170.0,50.0,2.5
14.142633,0.1474,0.25,37.44,0.1026,170.0,50.0,2.5
14.249029,0.1541,0.25,36.66,0.09590000000000001,170.0,50.0,2.5
14.355535,0.1494,0.25,38.25,0.1006,170.0,50.0,2.5
14.46181,0.1577,0.25,37.03,0.0923,170.0,50.0,2.5
14.568339,0.1516,0.25,38.94,0.09839999999999999,170.0,50.0,2.5
14.674866,0.1554,0.25,38.54,0.09459999999999999,170.0,50.0,2.5
14.781288,0.1542,0.25,39.38,0.0958,170.0,50.0,2.5
14.887638,0.1576,0.25,39.18,0.09240000000000001,170.0,50.0,2.5
14.990453,0.1619,0.25,38.89,0.08810000000000001,170.0,50.0,2.5
15.096838,0.1591,0.25,40.03,0.09090000000000001,170.0,50.0,2.5
15.203318,0.1659,0.25,39.09,0.08410000000000001,170.0,50.0,2.5
15.30961,0.1642,0.25,40.03,0.08579999999999999,170.0,50.0,2.5
15.416061,0.1646,0.25,40.37,0.0854,170.0,50.0,2.5
15.522768,0.1666,0.25,40.42,0.0834,170.0,50.0,2.5
15.629055,0.1626,0.25,41.73,0.0874,170.0,50.0,2.5
15.735602,0.1677,0.25,41.06,0.08230000000000001,170.0,50.0,2.5
15.842032,0.1674,0.25,41.68,0.0826,170.0,50.0,2.5
15.944424,0.1707,0.25,41.46,0.07930000000000001,170.0,50.0,2.5
16.050874,0.1722,0.25,41.66,0.07780000000000001,170.0,50.0,2.5
16.157407,0.1727,0.25,42.02,0.07730000000000001,170.0,50.0,2.5
16.264092,0.1746,0.25,42.06,0.0754,170.0,50.0,2.5
16.407263,0.1725,0.25,43.04,0.07750000000000001,170.0,50.0,2.5
16.513764,0.1761,0.25,42.72,0.0739,170.0,50.0,2.5
16.620332,0.1724,0.25,43.92,0.0776,170.0,50.0,2.5
16.726691,0.1816,0.25,42.42,0.06839999999999999,170.0,50.0,2.5
16.833111,0.1767,0.25,43.98,0.0733,170.0,50.0,2.5
16.939774,0.1808,0.25,43.44,0.06920000000000001,170.0,50.0,2.5
17.042446,0.1796,0.25,44.13,0.07039999999999999,170.0,50.0,2.5
17.148943,0.1823,0.25,43.94,0.06770000000000001,170.0,50.0,2.5
17.255041,0.1775,0.25,45.31,0.07250000000000001,170.0,50.0,2.5
17.361502,0.1826,0.25,44.57,0.06739999999999999,170.0,50.0,2.5
17.468049,0.1848,0.25,44.62,0.06520000000000001,170.0,50.0,2.5
17.574943,0.1841,0.25,45.16,0.06589999999999999,170.0,50.0,2.5
17.68099,0.1862,0.25,45.08,0.0638,170.0,50.0,2.5
17.787657,0.1902,0.25,44.66,0.05979999999999999,170.0,50.0,2.5
17.893987,0.1816,0.25,46.77,0.06839999999999999,170.0,50.0,2.5
17.996385,0.1901,0.25,45.25,0.05990000000000001,170.0,50.0,2.5
18.103114,0.1822,0.25,47.35,0.0678,170.0,50.0,2.5
18.209596,0.193,0.25,45.36,0.056999999999999995,170.0,50.0,2.5
18.316171,0.19,0.25,46.53,0.06,170.0,50.0,2.5
18.422497,0.1936,0.25,46.06,0.056400000000000006,170.0,50.0,2.5
18.528862,0.194,0.25,46.35,0.055999999999999994,170.0,50.0,2.5
18.6355,0.1932,0.25,46.82,0.05679999999999999,170.0,50.0,2.5
18.741893,0.1876,0.25,48.22,0.06240000000000001,170.0,50.0,2.5
18.8444,0.1968,0.25,46.59,0.0532,170.0,50.0,2.5
18.950782,0.1894,0.25,48.57,0.06059999999999999,170.0,50.0,2.5
19.057246,0.2021,0.25,46.18,0.0479,170.0,50.0,2.5
19.164048,0.1933,0.25,48.47,0.0567,170.0,50.0,2.5
19.270375,0.2004,0.25,47.17,0.049600000000000005,170.0,50.0,2.5
19.377495,0.1973,0.25,48.21,0.0527,170.0,50.0,2.5
19.483126,0.1968,0.25,48.52,0.0532,170.0,50.0,2.5
19.58959,0.199,0.25,48.35,0.05099999999999999,170.0,50.0,2.5
19.696235,0.2005,0.25,48.37,0.04949999999999999,170.0,50.0,2.5
19.798707,0.1997,0.25,48.83,0.05030000000000001,170.0,50.0,2.5
19.90502,0.2038,0.25,48.26,0.04619999999999999,170.0,50.0,2.5
20.011693,0.1993,0.25,49.5,0.050699999999999995,170.0,50.0,2.5
20.118252,0.2044,0.25,48.64,0.0456,170.0,50.0,2.5
20.224478,0.199,0.25,50.08,0.05099999999999999,170.0,50.0,2.5
20.330963,0.2038,0.25,49.27,0.04619999999999999,170.0,50.0,2.5
20.43747,0.2081,0.25,48.78,0.04189999999999999,170.0,50.0,2.5
20.544,0.2003,0.25,50.66,0.049699999999999994,170.0,50.0,2.5
20.650507,0.2108,0.25,48.65,0.03920000000000001,170.0,50.0,2.5
20.752926,0.201,0.25,51.05,0.04899999999999999,170.0,50.0,2.5
20.859336,0.2114,0.25,49.0,0.038599999999999995,170.0,50.0,2.5
20.966057,0.2027,0.25,51.2,0.04730000000000001,170.0,50.0,2.5
21.072497,0.2111,0.25,49.56,0.03889999999999999,170.0,50.0,2.5
21.178867,0.2073,0.25,50.73,0.04269999999999999,170.0,50.0,2.5
21.285357,0.2108,0.25,50.16,0.03920000000000001,170.0,50.0,2.5
21.391797,0.21,0.25,50.61,0.04000000000000001,170.0,50.0,2.5
21.535175,0.2077,0.25,51.34,0.042300000000000004,170.0,50.0,2.5
21.641756,0.21,0.25,51.07,0.04000000000000001,170.0,50.0,2.5
21.748154,0.2129,0.25,50.75,0.037099999999999994,170.0,50.0,2.5
21.850691,0.2109,0.25,51.41,0.039099999999999996,170.0,50.0,2.5
21.95716,0.2143,0.25,50.89,0.03570000000000001,170.0,50.0,2.5
22.063538,0.2086,0.25,52.3,0.04139999999999999,170.0,50.0,2.5
22.170065,0.2173,0.25,50.65,0.03270000000000001,170.0,50.0,2.5
22.276549,0.2052,0.25,53.43,0.044800000000000006,170.0,50.0,2.5
22.383177,0.2194,0.25,50.57,0.03059999999999999,170.0,50.0,2.5
22.489951,0.2099,0.25,52.96,0.0401,170.0,50.0,2.5
22.595973,0.2165,0.25,51.63,0.0335,170.0,50.0,2.5
22.702402,0.2151,0.25,52.25,0.03489999999999999,170.0,50.0,2.5
22.804985,0.2158,0.25,52.26,0.03420000000000001,170.0,50.0,2.5
22.911584,0.2172,0.25,52.17,0.032799999999999996,170.0,50.0,2.5
23.017903,0.2108,0.25,53.65,0.03920000000000001,170.0,50.0,2.5
23.124558,0.2204,0.25,51.8,0.029599999999999987,170.0,50.0,2.5
23.230828,0.2155,0.25,53.16,0.0345,170.0,50.0,2.5
23.337362,0.222,0.25,51.93,0.027999999999999997,170.0,50.0,2.5
23.443801,0.215,0.25,53.64,0.035,170.0,50.0,2.5
23.550373,0.2165,0.25,53.35,0.0335,170.0,50.0,2.5
23.658389,0.2196,0.25,52.94,0.03040000000000001,170.0,50.0,2.5
23.759287,0.217,0.25,53.69,0.033,170.0,50.0,2.5
23.865785,0.2193,0.25,53.35,0.030700000000000005,170.0,50.0,2.5
23.972374,0.2253,0.25,52.37,0.0247,170.0,50.0,2.5
24.078846,0.2167,0.25,54.37,0.033299999999999996,170.0,50.0,2.5
24.185356,0.2246,0.25,52.76,0.025400000000000006,170.0,50.0,2.5
24.291679,0.2143,0.25,55.14,0.03570000000000001,170.0,50.0,2.5
24.398083,0.227,0.25,52.56,0.022999999999999993,170.0,50.0,2.5
24.504503,0.2212,0.25,54.12,0.028799999999999992,170.0,50.0,2.5
24.607321,0.2262,0.25,53.16,0.023799999999999988,170.0,50.0,2.5
24.713719,0.2224,0.25,54.15,0.027600000000000013,170.0,50.0,2.5
24.82004,0.2231,0.25,54.07,0.026900000000000007,170.0,50.0,2.5
24.926488,0.2211,0.25,54.62,0.02890000000000001,170.0,50.0,2.5
25.033073,0.2283,0.25,53.3,0.021699999999999997,170.0,50.0,2.5
25.139523,0.2217,0.25,54.91,0.028299999999999992,170.0,50.0,2.5
25.245917,0.2289,0.25,53.47,0.021100000000000008,170.0,50.0,2.5
25.352724,0.2208,0.25,55.36,0.029200000000000004,170.0,50.0,2.5
25.45931,0.228,0.25,53.9,0.021999999999999992,170.0,50.0,2.5
25.561399,0.2211,0.25,55.55,0.02890000000000001,170.0,50.0,2.5
25.667922,0.2282,0.25,54.12,0.021800000000000014,170.0,50.0,2.5
25.774481,0.228,0.25,54.44,0.021999999999999992,170.0,50.0,2.5
25.881278,0.2281,0.25,54.53,0.021900000000000003,170.0,50.0,2.5
25.987287,0.2241,0.25,55.45,0.025900000000000006,170.0,50.0,2.5
26.093725,0.23,0.25,54.32,0.01999999999999999,170.0,50.0,2.5
26.200299,0.2217,0.25,56.21,0.028299999999999992,170.0,50.0,2.5
26.306744,0.236,0.25,53.33,0.014000000000000012,170.0,50.0,2.5
26.41393,0.2237,0.25,56.19,0.02629999999999999,170.0,50.0,2.5
26.51578,0.233,0.25,54.19,0.016999999999999987,170.0,50.0,2.5
26.659355,0.2269,0.25,55.72,0.02310000000000001,170.0,50.0,2.5
26.765573,0.2257,0.25,55.97,0.02429999999999999,170.0,50.0,2.5
26.872406,0.2283,0.25,55.55,0.021699999999999997,170.0,50.0,2.5
26.978542,0.2301,0.25,55.37,0.0199,170.0,50.0,2.5
27.085173,0.2321,0.25,55.13,0.0179,170.0,50.0,2.5
27.191548,0.2283,0.25,56.02,0.021699999999999997,170.0,50.0,2.5
27.298015,0.2345,0.25,54.82,0.015500000000000014,170.0,50.0,2.5
27.404392,0.2218,0.25,57.56,0.028200000000000003,170.0,50.0,2.5
27.510892,0.236,0.25,54.59,0.014000000000000012,170.0,50.0,2.5
27.613506,0.2248,0.25,57.22,0.0252,170.0,50.0,2.5
27.719976,0.2379,0.25,54.5,0.0121,170.0,50.0,2.5
27.826493,0.228,0.25,56.83,0.021999999999999992,170.0,50.0,2.5
27.933032,0.2314,0.25,56.05,0.018600000000000005,170.0,50.0,2.5
28.039239,0.2303,0.25,56.44,0.019699999999999995,170.0,50.0,2.5
28.145849,0.2331,0.25,55.97,0.0169,170.0,50.0,2.5
28.252306,0.2301,0.25,56.72,0.0199,170.0,50.0,2.5
28.358719,0.2357,0.25,55.63,0.014300000000000007,170.0,50.0,2.5
28.465092,0.2298,0.25,57.02,0.020199999999999996,170.0,50.0,2.5
28.567564,0.2359,0.25,55.77,0.014100000000000001,170.0,50.0,2.5
28.674404,0.2278,0.25,57.61,0.022199999999999998,170.0,50.0,2.5
28.780732,0.2339,0.25,56.32,0.016100000000000003,170.0,50.0,2.5
28.88713,0.235,0.25,56.32,0.015000000000000013,170.0,50.0,2.5
28.993833,0.2323,0.25,56.96,0.017699999999999994,170.0,50.0,2.5
29.100109,0.2332,0.25,56.81,0.01680000000000001,170.0,50.0,2.5
